Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
Episodio 1
4,"[0.0, 3.0, 6.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 4.5]",11,-1,"[0.0, 3.0, 6.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 6.5]",False
4,"[0.0, 3.0, 6.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 6.5]",8,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.5]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.5]",6,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.0]",4,-2,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.5]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.5]",5,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 13.0]",1,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",3,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",False
4,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",6,-1,"[0.0, 3.0, 6.690000057220459, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 13.0]",True
Episodio 5
5,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 8.0]",3,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 7.5]",False
5,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 7.5]",3,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.0]",False
5,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.0]",8,9,"[0.0, 3.0, 6.989999771118164, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 1.7999999523162842, 0.5]",True
Episodio 6
6,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",0,-1,"[1.0, 3.0, 6.12333345413208, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.2933332920074463, 1.7999999523162842, 0.5]",False
6,"[1.0, 3.0, 6.12333345413208, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.2933332920074463, 1.7999999523162842, 0.5]",0,-1,"[1.0, 3.0, 6.590000152587891, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 0.5]",False
6,"[1.0, 3.0, 6.590000152587891, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 0.5]",11,9,"[0.0, 3.0, 6.840000152587891, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 1.7999999523162842, 0.5]",True
Episodio 7
7,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",5,-1,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 0.5]",False
7,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 0.5]",8,19,"[0.0, 3.0, 7.019999980926514, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 1.8533333539962769, 1.7999999523162842, 0.5]",True
Episodio 8
8,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",9,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",False
8,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",9,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 2.0, 0.5]",False
8,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 2.0, 0.5]",1,-1,"[0.0, 3.0, 6.993333339691162, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 2.0, 0.5]",False
8,"[0.0, 3.0, 6.993333339691162, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 2.0, 0.5]",9,-1,"[0.0, 3.0, 6.986666679382324, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 2.0, 0.5]",False
8,"[0.0, 3.0, 6.986666679382324, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 2.0, 0.5]",5,9,"[0.0, 3.0, 6.986666679382324, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 2.0, 1.0, 0.5]",True
Episodio 9
9,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 0.5]",9,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 2.0, 0.5]",False
9,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 2.0, 0.5]",10,-1,"[1.0, 3.0, 5.823333263397217, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 2.0, 0.5]",False
9,"[1.0, 3.0, 5.823333263397217, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 2.0, 0.5]",4,0,"[1.0, 3.0, 5.826666831970215, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 2.0, 0.5]",False
9,"[1.0, 3.0, 5.826666831970215, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 2.0, 0.5]",9,-1,"[1.0, 3.0, 5.829999923706055, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.03999999910593033, 4.0, 0.5]",False
9,"[1.0, 3.0, 5.829999923706055, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.03999999910593033, 4.0, 0.5]",7,-1,"[1.0, 3.0, 5.833333492279053, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.06666667014360428, 4.0, 19.5]",False
9,"[1.0, 3.0, 5.833333492279053, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.06666667014360428, 4.0, 19.5]",4,-2,"[0.0, 3.0, 5.836666584014893, 3.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.06666667014360428, 4.0, 19.5]",False
