State,Action,Reward,New_State
"[1.0, 3.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]",2,0,"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]",4,-2,"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]",9,-1,"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 3.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 3.0, 0.0]",2,-2,"[1.0, 2.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 3.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",9,-1,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.0, 3.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.0, 3.0, 0.0]",7,0,"[1.0, 1.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.0, 3.0, 0.0]"
"[1.0, 1.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.0, 3.0, 0.0]",0,-1,"[0.0, 1.0, 5.573299884796143, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 3.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 3.0, 1.0]",10,0,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 3.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 3.0, 1.0]",9,-1,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 2.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 2.0, 1.0]",7,-2,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 2.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.106600046157837, 2.0, 1.0]",4,0,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 1.106600046157837, 2.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 1.106600046157837, 2.0, 1.0]",6,0,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 1.0, 9.999999747378752e-05, 1.0, 2.0, 1.106600046157837, 2.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 1.0, 9.999999747378752e-05, 1.0, 2.0, 1.106600046157837, 2.0, 1.0]",5,0,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 1.0, 9.999999747378752e-05, 1.0, 1.0, 1.106600046157837, 2.0, 1.0]"
"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 1.0, 9.999999747378752e-05, 1.0, 1.0, 1.106600046157837, 2.0, 1.0]",3,0,"[0.0, 1.0, 5.573299884796143, 0.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 1.0, 1.106600046157837, 2.0, 1.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",8,-1,"[0.0, 3.0, 6.809899806976318, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.800000011920929, 1.7999999523162842, 1.0]"
"[0.0, 3.0, 6.809899806976318, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.800000011920929, 1.7999999523162842, 1.0]",7,0,"[0.0, 1.0, 6.809899806976318, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.800000011920929, 1.7999999523162842, 1.0]"
"[0.0, 1.0, 6.809899806976318, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.800000011920929, 1.7999999523162842, 1.0]",0,-1,"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 9.0]"
"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 9.0]",7,-2,"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 9.0]"
"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 9.0]",4,0,"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 9.0]"
"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 9.0]",5,0,"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.7999999523162842, 9.0]"
"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.7999999523162842, 9.0]",9,-1,"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 3.0, 9.0]"
"[0.0, 1.0, 6.546599864959717, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 3.0, 9.0]",10,10,"[0.0, 1.0, 6.546599864959717, 2.0, 5.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 3.0, 9.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",2,0,"[1.0, 2.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 0.0]"
"[1.0, 2.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 0.0]",9,-1,"[1.0, 2.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]",10,0,"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]",2,-2,"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0]",4,0,"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",3,0,"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",2,-2,"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]"
"[1.0, 2.0, 5.800000190734863, 0.0, 8.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",8,-1,"[1.0, 2.0, 7.003300189971924, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]"
"[1.0, 2.0, 7.003300189971924, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]",7,0,"[1.0, 1.0, 7.009900093078613, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]"
"[1.0, 1.0, 7.009900093078613, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]",7,-2,"[1.0, 1.0, 7.009900093078613, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 0.0, 16.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",9,-1,"[1.0, 3.0, 5.743299961090088, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013299999758601189, 4.0, 0.0]"
"[1.0, 3.0, 5.743299961090088, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013299999758601189, 4.0, 0.0]",11,-1,"[1.0, 3.0, 5.843299865722656, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 4.0, 0.5]"
"[1.0, 3.0, 5.843299865722656, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 4.0, 0.5]",2,0,"[1.0, 2.0, 5.843299865722656, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 4.0, 0.5]"
"[1.0, 2.0, 5.843299865722656, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 4.0, 0.5]",1,9,"[1.0, 2.0, 7.676599979400635, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 4.0, 0.5]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",4,10,"[1.0, 3.0, 5.753300189971924, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.7999999523162842, 0.5]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",1,-1,"[0.0, 3.0, 6.763299942016602, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 18.0]"
"[0.0, 3.0, 6.763299942016602, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 18.0]",7,0,"[0.0, 1.0, 6.763299942016602, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 18.0]"
"[0.0, 1.0, 6.763299942016602, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 18.0]",0,-1,"[0.0, 1.0, 6.533299922943115, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.9200000166893005, 1.7999999523162842, 1.0]"
"[0.0, 1.0, 6.533299922943115, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.9200000166893005, 1.7999999523162842, 1.0]",6,0,"[0.0, 1.0, 6.533299922943115, 3.0, 7.0, 1.0, 1.0, 9.999999747378752e-05, 0.0, 3.0, 0.9200000166893005, 1.7999999523162842, 1.0]"
"[0.0, 1.0, 6.533299922943115, 3.0, 7.0, 1.0, 1.0, 9.999999747378752e-05, 0.0, 3.0, 0.9200000166893005, 1.7999999523162842, 1.0]",11,-1,"[0.0, 1.0, 6.526599884033203, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9599999785423279, 1.7999999523162842, 1.0]"
"[0.0, 1.0, 6.526599884033203, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9599999785423279, 1.7999999523162842, 1.0]",2,0,"[1.0, 2.0, 6.526599884033203, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9599999785423279, 1.7999999523162842, 1.0]"
"[1.0, 2.0, 6.526599884033203, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9599999785423279, 1.7999999523162842, 1.0]",8,9,"[1.0, 2.0, 9.0733003616333, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.9599999785423279, 1.7999999523162842, 1.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",2,10,"[1.0, 2.0, 5.779900074005127, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 2.0, 1.7999999523162842, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",1,-1,"[0.0, 3.0, 6.919899940490723, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 0.5]"
"[0.0, 3.0, 6.919899940490723, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 0.5]",3,0,"[0.0, 3.0, 6.916600227355957, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 0.5]"
"[0.0, 3.0, 6.916600227355957, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 0.5]",5,0,"[0.0, 3.0, 6.916600227355957, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.19990000128746033, 1.7999999523162842, 0.5]"
"[0.0, 3.0, 6.916600227355957, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.19990000128746033, 1.7999999523162842, 0.5]",8,9,"[0.0, 3.0, 5.7032999992370605, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 2.0, 1.7999999523162842, 0.5]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",1,-1,"[0.0, 3.0, 6.7399001121521, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 1.0]"
"[0.0, 3.0, 6.7399001121521, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 1.0]",2,0,"[1.0, 2.0, 6.7399001121521, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 1.0]"
"[1.0, 2.0, 6.7399001121521, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.19990000128746033, 1.7999999523162842, 1.0]",8,9,"[1.0, 2.0, 8.303299903869629, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.3732999861240387, 1.7999999523162842, 1.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",8,-1,"[0.0, 3.0, 6.7565999031066895, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.7466000318527222, 1.7999999523162842, 0.0]"
"[0.0, 3.0, 6.7565999031066895, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.7466000318527222, 1.7999999523162842, 0.0]",8,-1,"[0.0, 3.0, 5.786600112915039, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 18.0]"
