time/time_elapsed,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss
4142,0.05,0,-3.8448275862068964,58,450,7.758620689655173,0.0001,87,0.37207210063934326
4226,0.05,0,-3.9491525423728815,59,460,7.796610169491525,0.0001,89,0.13844381272792816
4232,0.05,0,-4.183333333333334,60,470,7.833333333333333,0.0001,92,0.71729576587677
4337,0.05,0,-4.278688524590164,61,480,7.868852459016393,0.0001,94,0.47031617164611816
4343,0.05,0,-4.483870967741935,62,490,7.903225806451613,0.0001,97,1.0849415063858032
4349,0.05,0,-4.571428571428571,63,500,7.936507936507937,0.0001,99,0.15103375911712646
4355,0.05,0,-4.609375,64,510,7.96875,0.0001,102,0.08992107212543488
4361,0.05,0,-4.8,65,520,8.0,0.0001,104,0.2336493283510208
4368,0.05,0,-4.96969696969697,66,530,8.030303030303031,0.0001,107,0.7978810667991638
4383,0.05,0,-5.029850746268656,67,540,8.059701492537313,0.0001,109,0.45162925124168396
4434,0.05,0,-5.102941176470588,68,550,8.088235294117647,0.0001,112,0.40496858954429626
4440,0.05,0,-5.173913043478261,69,560,8.115942028985508,0.0001,114,0.720863938331604
4446,0.05,0,-5.242857142857143,70,570,8.142857142857142,0.0001,117,1.5397861003875732
4453,0.05,0,-5.309859154929577,71,580,8.169014084507042,0.0001,119,0.41832494735717773
4506,0.05,0,-5.361111111111111,72,590,8.194444444444445,0.0001,122,0.9899790287017822
4559,0.05,0,-5.397260273972603,73,600,8.219178082191782,0.0001,124,0.4950873553752899
4565,0.05,0,-5.45945945945946,74,610,8.243243243243244,0.0001,127,0.40073275566101074
4863,0.05,0,-5.36,75,618,8.24,0.0001,129,0.677147388458252
4908,0.05,0,-5.434210526315789,76,628,8.263157894736842,0.0001,131,0.39095401763916016
5213,0.05,0,-5.35064935064935,77,637,8.272727272727273,0.0001,134,0.17332391440868378
5435,0.05,0,-5.410256410256411,78,647,8.294871794871796,0.0001,136,1.2391153573989868
5539,0.05,0,-5.468354430379747,79,657,8.316455696202532,0.0001,139,0.1784641444683075
5606,0.05,0,-5.525,80,667,8.3375,0.0001,141,1.2355555295944214
5658,0.05,0,-5.3580246913580245,81,669,8.25925925925926,0.0001,142,0.43160301446914673
5689,0.05,0,-5.182926829268292,82,670,8.170731707317072,,,
5780,0.05,0,-5.240963855421687,83,680,8.19277108433735,0.0001,144,0.0835319459438324
5811,0.05,0,-5.166666666666667,84,689,8.202380952380953,0.0001,147,0.46672964096069336
5840,0.05,0,-5.0,85,690,8.117647058823529,,,
5893,0.05,0,-4.848837209302325,86,692,8.046511627906977,,,
5947,0.05,0,-4.7011494252873565,87,694,7.977011494252873,0.0001,148,0.7272803783416748
6023,0.05,0,-4.75,88,704,8.0,0.0001,150,0.39884740114212036
6054,0.05,0,-4.808988764044944,89,714,8.02247191011236,0.0001,153,0.40560662746429443
6131,0.05,0,-4.866666666666666,90,724,8.044444444444444,0.0001,155,0.656924307346344
6162,0.05,0,-4.923076923076923,91,734,8.065934065934066,0.0001,158,0.37681517004966736
6191,0.05,0,-4.771739130434782,92,735,7.989130434782608,,,
6245,0.05,0,-4.827956989247312,93,745,8.010752688172044,0.0001,161,1.2153534889221191
6322,0.05,0,-4.712765957446808,94,749,7.968085106382978,0.0001,162,0.38768306374549866
6375,0.05,0,-4.578947368421052,95,751,7.905263157894737,,,
6427,0.05,0,-4.447916666666667,96,753,7.84375,0.0001,163,0.12274015694856644
6480,0.05,0,-4.319587628865979,97,755,7.783505154639175,,,
6533,0.05,0,-4.224489795918367,98,760,7.755102040816326,0.0001,164,0.37126705050468445
6610,0.05,0,-4.282828282828283,99,770,7.777777777777778,0.0001,167,0.13734647631645203
6688,0.05,0,-4.18,100,774,7.74,0.0001,168,0.4087863564491272
6719,0.05,0,-4.19,101,784,7.74,0.0001,170,0.6721804141998291
6795,0.05,0,-4.05,102,790,7.7,0.0001,172,0.7090017795562744
6896,0.05,0,-4.04,103,795,7.69,0.0001,173,0.04955168068408966
6996,0.05,0,-3.92,104,801,7.65,0.0001,175,0.08983497321605682
7050,0.05,0,-3.93,105,803,7.66,,,
7201,0.05,0,-3.93,106,813,7.66,0.0001,178,0.3790603280067444
7507,0.05,0,-4.09,107,823,7.72,0.0001,180,0.378532350063324
7559,0.05,0,-3.91,108,825,7.64,0.0001,181,0.3402688801288605
7682,0.05,0,-3.78,109,832,7.61,0.0001,182,0.9747490882873535
7713,0.05,0,-3.79,110,842,7.61,0.0001,185,0.4038940966129303
8003,0.05,0,-3.95,111,851,7.67,0.0001,187,0.3496733009815216
8056,0.05,0,-3.95,112,861,7.67,0.0001,190,0.6633749008178711
8110,0.05,0,-4.11,113,871,7.73,0.0001,192,0.4081178605556488
8199,0.05,0,-4.29,114,881,7.81,0.0001,195,0.38656526803970337
8479,0.05,0,-4.47,115,891,7.89,0.0001,197,0.3975027799606323
8532,0.05,0,-4.29,116,893,7.81,0.0001,198,0.39355701208114624
8584,0.05,0,-4.29,117,895,7.81,,,
8796,0.05,0,-4.29,118,905,7.81,0.0001,201,0.37066128849983215
9058,0.05,0,-4.47,119,915,7.89,0.0001,203,0.14056815207004547
9348,0.05,0,-4.36,120,924,7.88,0.0001,205,0.39361098408699036
9379,0.05,0,-4.3,121,926,7.83,0.0001,206,0.3398905098438263
