Episodio,Durata/Episodio,Loss/Episodio,Reward/Episodio
97,10,0.4860395547710897,-9
98,10,0.5920420205294266,-10
99,3,0.5925194639977457,7
100,4,0.5497715818800548,6
101,3,0.40432364213686095,7
102,10,0.52302529901887,-10
103,3,0.664066404449191,7
104,10,0.5552461447150308,-9
105,9,0.6841718400672551,2
106,10,0.5805725857577648,-9
107,8,0.5286944272796739,2
108,5,0.25529093098475103,5
109,2,0.4347149536663699,18
110,3,0.29487599094778494,7
111,2,0.25076980532197185,18
112,10,0.3533633632459251,-10
113,5,0.4307678308302666,6
114,10,0.6805231090725126,-10
115,1,0.29293894900770034,9
116,2,0.6348016990435874,8
117,10,0.5437140071103576,-10
118,10,0.492370633397927,-9
119,7,0.20524112999306587,13
120,10,0.5250081922602047,-9
121,3,0.1621249333476558,7
122,5,0.6060535188856206,5
123,10,0.5379131554855521,-10
124,6,0.344057286080339,4
125,10,0.3795457800129571,-8
126,9,0.5518446428820915,2
127,2,0.520166882573101,9
128,3,0.774568592846803,7
129,1,0.915174073136268,9
130,7,0.6364515365332389,3
131,10,0.43003717173083833,-10
132,10,0.3710014655762896,-8
133,10,0.4927106879038342,-10
134,10,0.7194099910345239,-8
135,10,0.688033357912073,-10
136,10,0.527402212058204,-9
137,8,0.4293776874416359,3
138,2,0.7074013784509658,8
139,8,0.4515760440310009,2
140,10,0.5467239421369274,-9
141,8,0.4368643643393049,2
142,10,0.5728856091631982,-9
143,5,0.6211091518544513,5
144,4,0.5860066928978902,6
145,6,0.5492010925719565,5
146,10,0.5740614483357158,-9
147,10,0.47025752778624474,-9
148,9,0.4515697647265745,1
149,10,0.5639862742285489,-11
150,10,0.4024345533452049,-10
151,3,0.6820750663879375,7
152,3,0.5177238503582993,17
153,10,0.6309925761077135,-9
154,6,0.4700804743593225,5
155,5,0.7585257671275173,5
156,1,0.34071751108307036,9
157,3,0.0417863154015042,17
158,10,0.4803083145036403,-10
159,7,0.3218954637199663,3
160,2,0.33250292895892164,8
161,10,0.41416896095697275,-10
162,10,0.5133854344683948,-10
163,2,0.552011974193405,8
164,2,0.5751731493055223,8
165,10,0.4428487942722258,-9
166,10,0.49967638700688355,-8
167,3,0.2442138514016257,8
168,10,0.6219502534822091,-10
169,6,0.564035748976684,5
170,10,0.5754314080966061,-10
171,1,0.8769348963656182,9
172,4,0.33470608071269126,7
173,10,0.4876356571639976,-9
174,1,0.8874315044158022,9
175,10,0.4420280789285239,-8
176,3,0.7563752800301549,7
177,2,0.311046209185174,8
178,10,0.6802248817176249,-9
179,10,0.5488455640656662,-9
180,10,0.49518081992518004,-10
181,4,0.40492025693431166,6
182,2,0.1822661695807224,8
183,2,0.4988782903743776,8
184,10,0.4533228350415329,-9
185,10,0.37968268925280413,-9
186,10,0.4504177753711921,-9
187,2,0.544711845834899,8
188,3,0.6657823971509166,8
189,4,0.37744289643458695,17
190,3,0.5880873537014916,7
191,3,0.4218482192080275,7
192,1,0.28597517816412643,9
193,10,0.7187979174414355,-10
