Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
889,129,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 3.0]",6,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 2.5]",False
890,129,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 2.5]",3,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 2.5]",False
891,129,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 2.5]",5,-1,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 1.5]",False
892,129,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 1.5]",0,-1,"[1.0, 3.0, 6.119999885559082, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",False
893,129,"[1.0, 3.0, 6.119999885559082, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",6,-1,"[1.0, 3.0, 6.12333345413208, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",False
894,129,"[1.0, 3.0, 6.12333345413208, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",5,-1,"[1.0, 3.0, 6.130000114440918, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",False
895,129,"[1.0, 3.0, 6.130000114440918, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",4,0,"[1.0, 3.0, 6.136666774749756, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 1.0]",False
896,129,"[1.0, 3.0, 6.136666774749756, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 1.0]",2,-1,"[1.0, 3.0, 6.143333435058594, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 0.5]",False
897,129,"[1.0, 3.0, 6.143333435058594, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 0.5]",0,-1,"[1.0, 2.0, 6.743333339691162, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 16.0]",True
898,130,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 4.5]",3,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 4.5]",False
899,130,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 4.5]",10,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 3.5]",False
900,130,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 3.5]",7,-1,"[1.0, 3.0, 5.813333511352539, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 3.0]",False
901,130,"[1.0, 3.0, 5.813333511352539, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 3.0]",3,-1,"[1.0, 3.0, 5.820000171661377, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 2.5]",False
902,130,"[1.0, 3.0, 5.820000171661377, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 2.5]",7,-1,"[0.0, 3.0, 5.820000171661377, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",False
903,130,"[0.0, 3.0, 5.820000171661377, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",5,-1,"[0.0, 1.0, 5.813333511352539, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.5]",False
904,130,"[0.0, 1.0, 5.813333511352539, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.5]",4,0,"[0.0, 1.0, 5.813333511352539, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",False
905,130,"[0.0, 1.0, 5.813333511352539, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",7,-1,"[0.0, 1.0, 5.806666851043701, 1.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 1.5]",False
